Date,TMK(SPO1),TMK(SPO1)_MICEX,TMK(SPO2),TMK(SPO2)_MICEX,Мечел,Мечел_MICEX,Алроса,Алроса_MICEX,Фосагро(SPO1),Фосагро(SPO1)_MICEX,Фосагро(SPO2),Фосагро(SPO2)_MICEX,Синергия (SPO1),Синергия (SPO1)_MICEX,Синергия (SPO2),Синергия (SPO2)_MICEX,Синергия (SPO3),Синергия (SPO3)_MICEX,Разгуляй (SPO1),Разгуляй (SPO1)_MICEX,Разгуляй (SPO2),Разгуляй (SPO2)_MICEX,Разгуляй (SPO3),Разгуляй (SPO3)_MICEX
T-12,124.98,1350.48,78.95,2189.07,891.3,1810.9,72.94,1902.7,1328.5,1458.52,2736,2146.09,535,1205.12,1194.99,1433.82,1290,1355.64,114.8,1827.74,172.997,1811.29,196.999,1631.2
T-11,122.85,1333.49,79.1,2178.73,877.8,1788.14,73.11,1904.02,1323,1440.99,2767,2174.59,600,1208.35,1200,1441.58,1304.99,1322.15,114.15,1799.93,181.289,1826.67,195,1635.04
T-10,124.5,1322,79,2170.09,888,1815.6,71.5,1896.7,1305,1428.08,2819,2176,640,1165.11,1210.01,1433.22,1291.5,1338.16,115,1801.42,185.1,1831.99,189.999,1673.78
T-9,124.93,1301.41,79.15,2162.25,889,1813.59,71.42,1919.27,1315,1420.02,2799,2229.2,655,1202.92,1225,1436.38,1288.44,1327.24,114.3,1772.35,201.294,1856.59,189.763,1655.59
T-8,124.43,1315.13,78.8,2159.96,894,1843.43,72.15,1884.41,1304.8,1424.55,2860,2266.05,709,1198.83,1229.99,1431.09,1300,1329.35,115.6,1799.36,212,1851.09,186.79,1681.54
T-7,116,1340.09,79.45,2146.09,890,1852.02,70,1841.73,1304.5,1436.62,2863,2234.14,700,1177.26,1240,1417.65,1300,1304.86,116.21,1792.05,208.5,1848.52,183.89,1684.56
T-6,117,1336.09,79.95,2174.59,890.6,1848.21,69.9,1857.23,1282.5,1440.02,2849,2217.39,709,1187.86,1230.18,1426.84,1301.1,1319.22,118.5,1816.9,200.1,1829.22,182.1,1649
T-5,117.83,1371.31,79.95,2176,905,1859.99,69.5,1888.15,1271,1427.71,2850,2231.68,701.5,1208.19,1298.35,1433.9,1305,1361.49,116,1854.47,189.6,1800.99,183,1638.29
T-4,120.37,1369.59,79.35,2229.2,888,1844.33,69.29,1891.09,1305,1428.68,2892,2217.56,695,1212.75,1333,1431.21,1304.98,1354.09,116.2,1872,183.997,1761.8,185.12,1661.02
T-3,119.8,1356.18,80.8,2266.05,867,1855.97,68.5,1896.62,1325.2,1420.96,2835,2226.61,700,1197.2,1319.99,1430.12,1295,1338.77,116.8,1855.63,185.999,1764.32,188,1690.59
