Date/Company ,TMK(SPO1),MICEX,TMK(SPO2),MICEX,Мечел,MICEX,Алроса,MICEX,Фосагро(SPO1),MICEX,Фосагро(SPO2),MICEX,Синергия (SPO1),MICEX,Синергия (SPO2),MICEX,Синергия (SPO3),MICEX,Разгуляй (SPO1),MICEX,Разгуляй (SPO2),MICEX,Разгуляй (SPO3),MICEX
T-119,130.82,1366.18,44.7,1975.8,745.01,1489.06,57.26,1684.78,1292,1463.12,2599,1989.51,320,917.1,1050,1496.88,1069.98,1368.9,103.5,1645.72,163.02,1926.45,115.6,1906.86
T-118,130.05,1366.78,44.35,1969.19,744,1491.48,53.9,1680.77,1282,1446.01,2586,1983.59,323,932.9,1048.99,1502.66,1098.99,1394.57,102.5,1651.34,170.698,1931.2,116.21,1912.29
T-117,127,1351.19,44.15,1970.07,757.5,1500.65,53.31,1608.36,1266.1,1443.42,2580,1985.56,322.93,882.5,1069.99,1499.34,1085,1401.81,102.5,1645.86,174,1929.31,118.5,1914.48
T-116,127,1357.11,44.05,1959.72,745.03,1490.49,54.09,1622.43,1273,1456.07,2571,1993.35,315,877.21,1048.8,1526.61,1089,1410.16,102,1597.42,177,1918.75,116,1931.14
T-115,125.9,1361.58,44.2,1979.09,739,1493.49,55,1645.56,1282,1474.3,2569,1986.72,314.8,904.95,1039.99,1530.93,1119,1408.64,101.998,1578.57,184.5,1904.27,116.2,1921.38
T-114,128.15,1368.51,44.15,1989.51,742.37,1528.11,56.72,1630.39,1284.7,1475.27,2574,1985.69,332.99,928.14,1045,1495.08,1111,1398.7,101.989,1581.51,189,1907.39,116.8,1839.04
T-113,128.9,1362.01,45.5,1983.59,712,1519.3,57.1,1677.19,1271.9,1460.06,2586,1971.59,340,922.99,1020.33,1459.17,1138.89,1422.08,101.3,1560.83,187,1888.86,116.751,1805.42
T-112,128.91,1370.01,44.25,1985.56,716.45,1528.24,56.66,1717.98,1297,1474.92,2585,1976.91,339.9,902.45,1024.98,1473.92,1138.99,1437.47,98,1524.79,187.799,1906.86,121,1788.34
T-111,137,1444.78,50,1993.35,713.96,1524.83,59.79,1716.56,1299,1455.31,2591,2003.77,353,887.48,1001.99,1465.87,1194.99,1433.82,98,1516.09,200,1912.29,128,1654.83
T-110,139,1427.67,50.25,1986.72,707,1507.05,60.6,1705.01,1304.9,1451.61,2602,2017.38,330.01,922.01,1017,1443.36,1200,1441.58,97.991,1570.34,193.449,1914.48,133.2,1636.79
T-109,141.6,1435.01,51.35,1985.69,700,1506.6,61.3,1747.57,1286,1446,2593,2039.53,340,920.35,985,1467.62,1210.01,1433.22,96.5,1619.89,186,1931.14,133,1570.9
T-108,148.7,1455.65,51.35,1971.59,715.2,1523.39,61.73,1771.93,1302.5,1433.52,2586,2053.75,404.89,957.77,999.99,1484.26,1225,1436.38,96.1,1611.81,180.5,1921.38,132.49,1661.99
T-107,150.5,1452.67,51,1976.91,722.7,1533.7,62,1784.92,1309.8,1431.9,2563,2050.77,405,957.05,997.99,1464.17,1229.99,1431.09,96,1615.31,193,1839.04,128.889,1705.2
T-106,157,1479.53,53.45,2003.77,730.56,1537.27,64.81,1773.21,1305,1421.75,2585,2028.25,391.96,1144.27,990,1430.28,1240,1417.65,95.51,1607.94,191.991,1805.42,125.5,1635.33
T-105,157,1484.03,53.9,2017.38,724.03,1540.11,65.55,1758.26,1288,1425.7,2553,2019.9,355.02,1011.67,999.9,1455.14,1230.18,1426.84,94,1587.93,189,1788.34,125.25,1678.42
T-104,153,1461.23,53.5,2039.53,757.97,1568.26,68.37,1746.35,1290.1,1430.91,2547,2004.5,374.61,1028.91,968,1436.04,1298.35,1433.9,94.38,1587.66,198.5,1654.83,124.6,1642.63
T-103,145.9,1435.9,53.55,2053.75,778,1594.72,66.6,1787.93,1298,1440.25,2547,2004.48,389.99,1059.54,1015,1393.07,1333,1431.21,93.49,1594.1,194,1636.79,124.49,1574.33
T-102,143.7,1410.38,55.8,2050.77,759.5,1574.63,64.9,1780.59,1275,1446.46,2547,1996.58,381,1007.88,1000,1378.43,1319.99,1430.12,93.5,1610.83,190,1570.9,125,1640.49
T-101,142.8,1415.86,54.95,2028.25,769.8,1556.43,63.2,1744.27,1269.9,1423.36,2551,1981.96,389.88,1000.62,999,1365.13,1315,1436.06,95.75,1662.71,195.9,1661.99,124.5,1677.78
T-100,138.94,1384.79,55.25,2019.9,775.4,1548.96,62.3,1723.36,1270,1407.79,2569,1986.97,375.03,1002.19,969.99,1288.61,1275,1418.67,95,1672.29,195,1705.2,123.5,1632.37
T-99,139.25,1391.25,54.9,2004.5,764.98,1541.1,64,1730.83,1278,1401.32,2570,1991.78,373,1012.89,980,1334.15,1215,1410.11,94.5,1682.22,183.9,1635.33,122.5,1631.1
T-98,144,1406.55,53.85,2004.48,765.79,1556.18,67.32,1711.58,1276,1407.9,2599,1997.67,375,1041.84,899.95,1391.87,1210.98,1419.18,94.5,1670.36,185.2,1678.42,122.12,1581.96
